Id,MSSubClass,Street,Utilities,LotConfig,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Bedroom,Kitchen,KitchenQuality,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,MoSold,YrSold,SaleType,SaleCondition,SalePrice
363,85,Pave,AllPub,Corner,Edwards,SFoyer,7,5,2003,2003,Gable,4,1,Gd,7,Typ,1,Ex,BuiltIn,2003,RFn,2,672,7,2009,ConLD,Normal,198500
364,160,Pave,AllPub,Inside,BrDale,2Story,6,8,1972,2007,Gable,2,1,Gd,5,Typ,0,NA,Detchd,1972,Unf,1,264,5,2009,WD,Normal,118000
365,60,Pave,AllPub,FR2,NWAmes,2Story,6,5,1976,1976,Gable,3,1,TA,6,Typ,1,TA,Attchd,1976,Fin,2,566,7,2006,WD,Normal,190000
366,70,Pave,AllPub,Inside,IDOTRR,2Story,5,7,1920,1997,Hip,3,1,TA,6,Typ,0,NA,Detchd,1964,Unf,1,468,7,2009,WD,Normal,147000
367,20,Pave,AllPub,Inside,NAmes,1Story,6,5,1963,1963,Gable,3,1,TA,6,Typ,2,Gd,Attchd,1963,RFn,2,514,7,2009,WD,Normal,159000
368,80,Pave,AllPub,Corner,NAmes,SLvl,6,5,1962,1962,Gable,3,1,TA,6,Typ,1,Gd,Basment,1962,RFn,1,296,12,2008,WD,Normal,165000
369,20,Pave,AllPub,Inside,NAmes,1Story,5,6,1954,1954,Gable,2,1,TA,7,Typ,1,Gd,Attchd,1954,Fin,1,244,3,2010,WD,Normal,132000
370,20,Pave,AllPub,Corner,NAmes,1Story,5,7,1959,2006,Gable,3,1,Gd,7,Typ,1,Gd,Detchd,1997,Fin,2,576,3,2010,WD,Normal,162000
371,60,Pave,AllPub,Inside,Gilbert,2Story,6,5,2000,2000,Gable,3,1,TA,7,Typ,1,TA,Attchd,2000,RFn,2,460,1,2006,WD,Normal,172400
372,50,Pave,AllPub,Inside,ClearCr,1.5Fin,4,4,1959,1959,Gable,4,1,TA,7,Min2,1,Gd,Detchd,1991,Fin,2,680,7,2008,WD,Normal,134432
373,120,Pave,AllPub,Inside,SawyerW,1Story,6,5,1984,1984,Gable,2,1,TA,4,Typ,0,NA,Attchd,1984,Unf,1,264,2,2010,WD,Normal,125000
374,20,Pave,AllPub,Inside,NAmes,1Story,5,6,1953,1953,Gable,3,1,TA,5,Min2,0,NA,Attchd,1953,Unf,1,270,11,2009,WD,Normal,123000
375,60,Pave,AllPub,Inside,CollgCr,2Story,7,5,2003,2004,Gable,4,1,Gd,8,Typ,1,Gd,BuiltIn,2003,Fin,2,434,7,2007,WD,Normal,219500
376,30,Pave,AllPub,Inside,Edwards,1Story,1,1,1922,1950,Gable,1,1,Fa,4,Maj1,0,NA,NA,NA,NA,0,0,3,2009,WD,Normal,61000
377,85,Pave,AllPub,CulDSac,CollgCr,SFoyer,5,5,1996,1996,Gable,2,1,TA,5,Typ,0,NA,Detchd,1998,Unf,2,576,7,2006,WD,Normal,148000
378,60,Pave,AllPub,Corner,Somerst,2Story,8,5,2004,2005,Gable,4,1,Gd,8,Typ,1,Gd,Attchd,2004,RFn,2,610,12,2007,WD,Normal,340000
379,20,Pave,AllPub,Corner,StoneBr,1Story,9,2,2010,2010,Hip,1,1,Ex,8,Typ,1,Ex,Attchd,2010,Fin,3,834,6,2010,New,Partial,394432
380,60,Pave,AllPub,Inside,Gilbert,2Story,6,5,2000,2000,Gable,3,1,TA,7,Typ,1,TA,Attchd,2000,Fin,2,463,6,2009,WD,Normal,179000
381,50,Pave,AllPub,Inside,SWISU,1.5Fin,5,6,1924,1950,Gable,3,1,Gd,6,Typ,1,Gd,Detchd,1924,Unf,1,308,5,2010,WD,Normal,127000
382,20,Pave,AllPub,Inside,Somerst,1Story,7,5,2006,2006,Gable,2,1,Gd,5,Typ,1,Gd,Attchd,2006,RFn,2,572,8,2006,New,Partial,187750
383,60,Pave,AllPub,Inside,CollgCr,2Story,7,5,2006,2006,Gable,3,1,Gd,8,Typ,0,NA,Attchd,2006,RFn,2,639,4,2007,WD,Normal,213500
384,45,Pave,AllPub,Corner,SawyerW,1.5Unf,6,3,1928,1950,Gable,2,1,TA,5,Typ,0,NA,Detchd,1950,Unf,2,360,10,2009,WD,Normal,76000
385,60,Pave,AllPub,Corner,ClearCr,2Story,6,5,1992,1992,Gable,3,1,Gd,9,Typ,2,Fa,Attchd,1992,Fin,2,501,6,2007,WD,Normal,240000
386,120,Pave,AllPub,Inside,Blmngtn,1Story,8,5,2004,2005,Gable,2,1,Gd,6,Typ,1,TA,Attchd,2004,Fin,2,430,4,2010,WD,Normal,192000
387,50,Pave,AllPub,FR2,Edwards,1.5Fin,5,3,1910,1996,Gambrel,5,1,TA,8,Typ,0,NA,NA,NA,NA,0,0,5,2006,WD,AdjLand,81000
388,80,Pave,AllPub,Inside,Edwards,SLvl,6,6,1976,1976,Hip,3,1,TA,6,Typ,1,Fa,Detchd,1977,Unf,1,352,10,2009,WD,Abnorml,125000
389,20,Pave,AllPub,CulDSac,CollgCr,1Story,7,5,1999,2000,Gable,3,1,Gd,6,Typ,0,NA,Attchd,1999,RFn,2,577,7,2008,WD,Normal,191000
390,60,Pave,AllPub,Inside,NridgHt,2Story,10,5,2007,2008,Gable,3,1,Ex,9,Typ,1,Ex,BuiltIn,2008,Fin,3,846,8,2008,New,Partial,426000
391,50,Pave,AllPub,Inside,Edwards,1.5Fin,5,8,1900,1950,Gable,4,1,TA,7,Typ,0,NA,Detchd,1978,Unf,1,384,4,2008,WD,Normal,119000
392,60,Pave,AllPub,CulDSac,Mitchel,2Story,6,5,2001,2002,Gable,3,1,Gd,7,Typ,1,TA,BuiltIn,2001,Fin,2,560,6,2009,WD,Normal,215000
393,20,Pave,AllPub,Inside,NAmes,1Story,5,7,1959,1959,Gable,3,1,TA,5,Typ,0,NA,Attchd,1959,RFn,1,294,7,2007,WD,Normal,106500
394,30,Pave,AllPub,Corner,BrkSide,1Story,4,5,1941,1950,Gable,2,1,TA,4,Typ,2,TA,NA,NA,NA,0,0,4,2006,WD,Abnorml,100000
395,50,Pave,AllPub,Inside,OldTown,1.5Fin,5,6,1940,1950,Gable,2,1,TA,5,Typ,0,NA,Detchd,1940,Unf,1,240,7,2007,WD,Normal,109000
396,20,Pave,AllPub,Inside,Edwards,1Story,5,6,1956,1956,Gable,3,1,TA,6,Typ,0,NA,Attchd,1956,Unf,1,596,6,2010,WD,Normal,129000
397,20,Pave,AllPub,Inside,CollgCr,1Story,5,5,1972,1972,Hip,2,1,TA,6,Typ,0,NA,Detchd,1985,RFn,2,600,9,2009,WD,Normal,123000
398,60,Pave,AllPub,Inside,NAmes,2Story,5,5,1962,1962,Gable,4,1,TA,8,Typ,1,TA,Attchd,1962,RFn,1,264,7,2007,WD,Normal,169500
399,30,Pave,AllPub,Corner,IDOTRR,1Story,5,2,1920,1950,Gable,2,1,TA,6,Maj2,0,NA,Detchd,1920,Unf,1,338,11,2007,WD,Abnorml,67000
400,60,Pave,AllPub,Inside,Somerst,2Story,7,5,2006,2007,Gable,2,1,Gd,7,Typ,0,NA,Attchd,2007,Fin,2,438,10,2009,WD,Normal,241000
401,120,Pave,AllPub,Inside,Veenker,1Story,8,5,1996,1996,Gable,1,1,Ex,4,Typ,2,Gd,Attchd,1996,Fin,2,500,12,2008,WD,Normal,245500
402,20,Pave,AllPub,Inside,CollgCr,1Story,7,5,2005,2005,Gable,3,1,Gd,6,Typ,1,Gd,Attchd,2005,Fin,2,400,7,2006,New,Partial,164990
403,30,Pave,AllPub,Inside,Sawyer,1Story,5,8,1940,1997,Gable,2,1,TA,4,Typ,0,NA,Detchd,1940,Unf,1,240,8,2008,WD,Normal,108000
404,60,Pave,AllPub,Corner,NoRidge,2Story,8,5,1998,1998,Hip,4,1,Gd,10,Typ,1,TA,BuiltIn,1998,Fin,2,420,7,2006,WD,Abnorml,258000
405,60,Pave,AllPub,Inside,Gilbert,2Story,6,5,1995,1996,Gable,3,1,TA,7,Typ,1,TA,BuiltIn,1995,Fin,2,373,5,2007,WD,Normal,168000
406,20,Pave,AllPub,Corner,Sawyer,1Story,4,4,1976,1993,Gable,3,1,TA,8,Min1,1,TA,Attchd,1993,Unf,2,490,6,2009,WD,Normal,150000
407,50,Pave,AllPub,Inside,SWISU,1.5Fin,6,5,1936,1950,Gable,3,1,TA,6,Maj2,0,NA,Detchd,1936,Unf,1,240,3,2008,WD,Normal,115000
408,70,Pave,AllPub,Inside,Crawfor,2Story,6,7,1915,1976,Gable,4,1,TA,8,Typ,0,NA,Attchd,1960,Unf,1,308,3,2008,WD,Normal,177000
409,60,Pave,AllPub,Corner,NridgHt,2Story,7,5,2006,2006,Gable,3,1,Gd,9,Typ,1,Gd,Attchd,2006,RFn,3,947,8,2007,New,Partial,280000
410,60,Pave,AllPub,Inside,Somerst,2Story,8,5,2007,2008,Gable,3,1,Ex,8,Typ,1,Gd,Attchd,2008,Fin,3,836,4,2008,New,Partial,339750
411,20,Pave,AllPub,Inside,Edwards,1Story,5,3,1958,1958,Gable,3,1,TA,5,Mod,0,NA,Attchd,1958,Unf,1,350,6,2009,COD,Abnorml,60000
412,190,Pave,AllPub,Inside,Gilbert,1Story,5,5,1955,1955,Hip,3,1,TA,5,Typ,0,NA,Attchd,1955,Fin,2,572,1,2006,WD,Normal,145000
413,20,Pave,AllPub,Inside,Somerst,1Story,7,5,2009,2009,Gable,2,1,Gd,7,Typ,1,Gd,Attchd,2009,Fin,2,484,6,2010,New,Partial,222000
414,30,Pave,AllPub,Inside,OldTown,1Story,5,6,1927,1950,Gable,2,1,TA,5,Typ,1,Gd,Detchd,1927,Unf,2,360,3,2010,WD,Normal,115000
415,60,Pave,AllPub,CulDSac,SawyerW,2Story,7,5,1993,1993,Gable,3,1,Gd,9,Typ,1,TA,Attchd,1993,Unf,3,678,12,2008,WD,Normal,228000
416,20,Pave,AllPub,Inside,Gilbert,1Story,7,5,2007,2007,Gable,3,1,Gd,6,Typ,0,NA,Attchd,2007,Fin,2,396,8,2007,New,Partial,181134
417,60,Pave,AllPub,Inside,Sawyer,2Story,6,7,1978,1978,Hip,3,1,TA,6,Typ,1,TA,Attchd,1978,Fin,2,440,3,2006,WD,Normal,149500
418,70,Pave,AllPub,Inside,Crawfor,2Story,6,6,1918,1950,Hip,4,1,TA,10,Typ,1,Gd,Detchd,1918,Unf,3,864,11,2007,WD,Normal,239000
419,50,Pave,AllPub,Inside,Edwards,1.5Fin,5,6,1940,1950,Gable,3,1,TA,7,Typ,0,NA,Detchd,1940,Unf,1,240,4,2007,WD,AdjLand,126000
420,20,Pave,AllPub,Inside,NAmes,1Story,5,6,1968,1968,Gable,3,1,TA,6,Typ,1,Fa,Attchd,1968,Unf,1,304,7,2010,WD,Normal,142000
421,90,Pave,AllPub,Inside,Mitchel,SFoyer,7,5,1997,1998,Gable,2,2,TA,8,Typ,0,NA,Attchd,1997,Fin,4,784,11,2008,WD,Alloca,206300
422,20,Pave,AllPub,FR2,NWAmes,1Story,6,7,1977,2000,Gable,3,1,Gd,8,Typ,1,TA,Attchd,1977,Fin,2,529,6,2009,WD,Normal,215000
423,20,Pave,AllPub,Inside,Mitchel,1Story,5,5,1954,1954,Hip,2,1,TA,4,Typ,0,NA,Attchd,1954,RFn,2,520,2,2008,WD,Normal,113000
424,60,Pave,AllPub,Inside,NoRidge,2Story,8,5,1998,1998,Gable,4,1,Gd,8,Typ,1,TA,Attchd,1998,Fin,3,696,6,2008,WD,Normal,315000
425,20,Pave,AllPub,Inside,NAmes,1Story,6,5,1956,1956,Gable,2,1,TA,6,Typ,1,Gd,Attchd,1956,RFn,1,297,5,2008,WD,Normal,139000
426,60,Pave,AllPub,Inside,OldTown,2Story,7,8,1946,1992,Gable,3,1,TA,6,Typ,2,Gd,Detchd,1947,Unf,1,240,9,2009,WD,Normal,135000
427,80,Pave,AllPub,Inside,SawyerW,SLvl,7,5,1989,1989,Gable,2,1,Gd,5,Typ,1,TA,Attchd,1989,Fin,2,569,8,2009,WD,Normal,275000
428,20,Pave,AllPub,Inside,NAmes,1Story,4,6,1957,1957,Hip,3,1,TA,5,Typ,0,NA,Detchd,1964,Unf,1,352,7,2008,WD,Normal,109008
429,20,Pave,AllPub,Inside,CollgCr,1Story,7,5,2007,2007,Gable,2,1,Gd,6,Typ,0,NA,Attchd,2007,RFn,2,628,9,2007,New,Partial,195400
430,20,Pave,AllPub,Corner,Timber,1Story,6,5,1988,1988,Gable,3,1,Gd,6,Typ,1,TA,Attchd,1988,Unf,2,576,3,2009,WD,Normal,175000
431,160,Pave,AllPub,Inside,BrDale,2Story,6,5,1971,1971,Gable,2,1,TA,4,Typ,0,NA,Detchd,1971,Unf,1,264,7,2008,COD,Abnorml,85400
432,50,Pave,AllPub,Inside,OldTown,1.5Fin,6,7,1920,1998,Gable,4,1,TA,7,Typ,0,NA,NA,NA,NA,0,0,9,2008,ConLD,Abnorml,79900
433,160,Pave,AllPub,Inside,BrDale,2Story,5,5,1971,1971,Gable,2,1,TA,6,Min1,0,NA,Detchd,1971,Unf,2,440,8,2007,WD,Normal,122500
434,60,Pave,AllPub,Corner,Gilbert,2Story,6,5,1997,1998,Gable,3,1,TA,7,Typ,1,TA,Attchd,1997,Fin,2,470,7,2008,WD,Normal,181000
435,180,Pave,AllPub,Inside,MeadowV,SFoyer,4,7,1972,1972,Gable,1,1,TA,3,Typ,0,NA,NA,NA,NA,0,0,6,2008,WD,Normal,81000
436,60,Pave,AllPub,CulDSac,CollgCr,2Story,7,6,1996,1996,Gable,3,1,Gd,6,Typ,1,TA,Attchd,1996,RFn,2,550,4,2009,ConLw,Normal,212000
437,50,Pave,AllPub,Inside,OldTown,1.5Fin,6,8,1920,1950,Gable,2,1,TA,6,Typ,0,NA,Detchd,1990,Unf,2,440,10,2006,WD,Normal,116000
438,45,Pave,AllPub,Inside,BrkSide,1.5Unf,6,7,1926,2004,Gable,2,1,TA,4,Typ,0,NA,Detchd,1926,Unf,1,180,1,2009,WD,Normal,119000
439,30,Pave,AllPub,Inside,Crawfor,1Story,5,6,1913,2002,Gable,2,1,Gd,4,Typ,1,Gd,Detchd,1990,Unf,1,352,3,2007,WD,Normal,90350
440,50,Pave,AllPub,Corner,Edwards,1.5Fin,6,8,1920,2000,Gable,3,1,Gd,7,Typ,0,NA,Detchd,2005,Unf,2,528,8,2009,ConLI,Normal,110000
441,20,Pave,AllPub,Inside,NridgHt,1Story,10,5,2008,2008,Hip,2,1,Ex,10,Typ,2,Gd,Attchd,2008,Fin,3,672,4,2009,WD,Normal,555000
442,90,Pave,AllPub,Inside,Edwards,1Story,4,4,1955,1955,Gable,4,2,Fa,8,Typ,0,NA,NA,NA,NA,0,0,9,2008,WD,Normal,118000
443,50,Pave,AllPub,Inside,BrkSide,1.5Fin,5,7,1930,1992,Gable,3,1,TA,8,Typ,1,Gd,Detchd,1930,Unf,2,360,6,2008,WD,Normal,162900
444,120,Pave,AllPub,Inside,Blmngtn,1Story,7,5,2006,2007,Gable,2,1,Gd,6,Typ,1,Gd,Attchd,2007,Fin,3,648,6,2007,New,Partial,172500
445,60,Pave,AllPub,Inside,CollgCr,2Story,7,5,1994,1995,Gable,4,1,Gd,8,Typ,1,TA,Attchd,1994,Unf,2,493,7,2008,WD,Normal,210000
446,20,Pave,AllPub,Corner,Edwards,1Story,6,5,1956,1956,Hip,3,1,TA,7,Typ,1,Gd,Attchd,1956,Unf,2,480,11,2009,COD,Normal,127500
447,20,Pave,AllPub,Corner,NAmes,1Story,6,6,1966,2002,Gable,2,1,Gd,6,Mod,1,Gd,Attchd,1966,Fin,2,578,6,2010,WD,Normal,190000
448,60,Pave,AllPub,Corner,Gilbert,2Story,7,5,1998,1999,Gable,4,1,Gd,10,Typ,1,TA,Attchd,1998,Fin,2,431,7,2006,WD,Normal,199900
449,50,Pave,AllPub,Inside,IDOTRR,1.5Fin,6,6,1937,1950,Gable,3,1,TA,7,Typ,1,Gd,Detchd,1937,Unf,1,198,6,2006,WD,Normal,119500
450,50,Pave,AllPub,Inside,OldTown,1.5Fin,3,7,1948,2002,Gable,2,1,TA,6,Typ,0,NA,Detchd,1981,Unf,1,308,6,2007,WD,Normal,120000
451,30,Pave,AllPub,Inside,OldTown,1Story,6,8,1930,2005,Hip,2,1,Gd,5,Typ,0,NA,Detchd,1932,Unf,1,270,6,2006,WD,Normal,110000
452,20,Pave,AllPub,Inside,ClearCr,1Story,7,5,1975,1975,Gable,2,1,Gd,5,Typ,2,TA,Attchd,1975,Unf,2,576,12,2006,WD,Normal,280000
453,60,Pave,AllPub,Corner,Timber,2Story,6,5,1996,1997,Hip,3,1,TA,7,Typ,0,NA,Attchd,1996,Fin,2,422,7,2007,WD,Normal,204000
454,60,Pave,AllPub,Inside,Somerst,2Story,8,5,2008,2008,Gable,3,1,Gd,6,Typ,0,NA,Attchd,2008,RFn,2,676,6,2009,WD,Normal,210000
455,90,Pave,AllPub,Inside,Mitchel,1Story,5,5,1976,1976,Gable,4,2,TA,8,Typ,0,NA,Detchd,1976,Unf,2,560,7,2006,WD,Family,188000
456,20,Pave,AllPub,Inside,NWAmes,1Story,7,6,1973,1973,Hip,3,1,TA,6,Typ,1,TA,Attchd,1973,Unf,2,528,9,2007,WD,Normal,175500
457,70,Pave,AllPub,Inside,OldTown,2Story,5,5,1916,1950,Gable,4,1,TA,7,Typ,0,NA,Detchd,1916,Unf,3,513,5,2008,COD,Abnorml,98000
458,20,Pave,AllPub,CulDSac,ClearCr,1Story,4,6,1954,1994,Flat,2,1,Gd,6,Min1,2,Gd,Attchd,1954,Fin,2,529,3,2008,WD,Normal,256000
459,70,Pave,AllPub,Inside,OldTown,2Story,8,7,1925,1996,Hip,3,1,Gd,7,Typ,1,Gd,Detchd,1925,Unf,1,228,6,2008,WD,Normal,161000
460,50,Pave,AllPub,Corner,BrkSide,1.5Fin,5,4,1950,1950,Gable,3,1,Gd,5,Typ,1,TA,Detchd,1950,Unf,1,352,7,2009,WD,Normal,110000
461,60,Pave,AllPub,Inside,Somerst,2Story,8,5,2009,2009,Gable,3,1,TA,8,Typ,0,NA,BuiltIn,2009,Fin,2,552,12,2009,New,Partial,263435
462,70,Pave,AllPub,Inside,SWISU,2Story,7,9,1936,2007,Gable,3,1,Gd,6,Typ,0,NA,Detchd,1971,RFn,2,576,4,2009,WD,Normal,155000
463,20,Pave,AllPub,Inside,Sawyer,1Story,5,5,1965,1965,Gable,3,1,TA,5,Typ,1,Po,Detchd,1965,Unf,1,360,12,2009,WD,Normal,62383
464,70,Pave,AllPub,Inside,Crawfor,2Story,6,7,1934,1995,Hip,3,1,TA,6,Typ,1,Gd,Detchd,1939,Unf,1,240,8,2008,WD,Normal,188700
465,20,Pave,AllPub,Inside,CollgCr,1Story,5,5,1978,1978,Gable,3,1,TA,5,Typ,0,NA,NA,NA,NA,0,0,8,2009,WD,Normal,124000
466,120,Pave,AllPub,Inside,Blmngtn,1Story,7,5,2004,2004,Hip,2,1,Gd,6,Typ,1,TA,Attchd,2004,Fin,2,398,5,2006,WD,Normal,178740
467,20,Pave,AllPub,Inside,NAmes,1Story,7,5,1970,1970,Flat,2,1,TA,5,Typ,1,Po,Attchd,1970,Unf,2,526,4,2007,WD,Normal,167000
468,70,Pave,AllPub,Inside,NAmes,2Story,5,7,1942,1995,Gable,3,1,Gd,7,Typ,2,Gd,Attchd,1942,Unf,1,312,6,2007,WD,Normal,146500
469,20,Pave,AllPub,Inside,NridgHt,1Story,8,5,2006,2006,Gable,3,1,Gd,7,Typ,1,Gd,Attchd,2006,RFn,3,866,5,2007,WD,Normal,250000
470,60,Pave,AllPub,Corner,SawyerW,2Story,6,5,1993,1993,Gable,3,1,Gd,7,Typ,0,NA,Attchd,1993,RFn,2,506,6,2008,WD,Normal,187000
471,120,Pave,AllPub,Corner,StoneBr,1Story,8,5,1985,1985,Gable,1,1,Gd,4,Typ,0,NA,Attchd,1985,RFn,2,528,6,2010,WD,Normal,212000
472,60,Pave,AllPub,Inside,NWAmes,2Story,7,6,1977,1977,Mansard,3,1,TA,8,Typ,1,Gd,Attchd,1977,RFn,2,534,11,2007,WD,Normal,190000
473,180,Pave,AllPub,Inside,Edwards,SLvl,6,5,2005,2005,Gable,2,1,TA,5,Typ,0,NA,Basment,2005,RFn,2,525,6,2008,WD,Normal,148000
474,20,Pave,AllPub,Inside,NridgHt,1Story,8,5,2006,2007,Gable,2,1,Gd,7,Typ,1,Ex,Attchd,2006,RFn,3,908,7,2007,New,Partial,440000
475,120,Pave,AllPub,Inside,StoneBr,1Story,8,5,2000,2000,Gable,2,1,Ex,6,Typ,0,NA,Attchd,2000,RFn,2,499,8,2007,WD,Normal,251000
476,20,Pave,AllPub,Corner,Sawyer,1Story,5,6,1963,1963,Hip,2,1,TA,5,Typ,0,NA,Detchd,1996,Unf,2,624,7,2007,WD,Normal,132500
477,20,Pave,AllPub,Inside,CollgCr,1Story,6,5,1997,1998,Gable,3,1,Gd,7,Typ,1,TA,Attchd,1997,Fin,2,508,4,2008,WD,Normal,208900
478,60,Pave,AllPub,Inside,NridgHt,2Story,9,5,2006,2006,Hip,3,1,Ex,9,Typ,1,Gd,BuiltIn,2006,Fin,3,694,3,2007,WD,Normal,380000
479,20,Pave,AllPub,Inside,CollgCr,1Story,8,5,2007,2008,Hip,3,1,Gd,7,Typ,1,Gd,Attchd,2007,RFn,3,826,9,2009,WD,Normal,297000
480,30,Pave,AllPub,Inside,OldTown,1Story,4,7,1937,2000,Hip,2,1,TA,7,Typ,0,NA,Detchd,1995,Unf,2,672,3,2007,WD,Alloca,89471
481,20,Pave,AllPub,FR2,NridgHt,1Story,9,5,2004,2005,Hip,3,1,Gd,8,Typ,1,Gd,Attchd,2004,Fin,3,772,3,2006,WD,Normal,326000
482,20,Pave,AllPub,Inside,NridgHt,1Story,9,5,2003,2004,Hip,2,1,Ex,6,Typ,1,Gd,Attchd,2003,Fin,3,874,8,2006,WD,Normal,374000
483,70,Pave,AllPub,Corner,OldTown,2Story,7,8,1915,2005,Gable,4,1,Ex,7,Min2,1,Gd,Attchd,1915,Unf,1,164,6,2009,WD,Normal,155000
484,120,Pave,AllPub,FR2,Mitchel,1Story,6,5,1998,1998,Hip,2,1,TA,5,Typ,0,NA,Attchd,1998,Unf,2,402,5,2006,WD,Normal,164000
485,20,Pave,AllPub,Corner,Sawyer,1Story,5,7,1962,2001,Gable,3,1,Gd,6,Typ,0,NA,Detchd,1963,Unf,1,264,3,2007,WD,Normal,132500
486,20,Pave,AllPub,Inside,NAmes,1Story,5,7,1950,2007,Gable,3,1,Gd,5,Typ,1,Gd,Attchd,1950,Unf,1,264,7,2009,WD,Normal,147000
487,20,Pave,AllPub,Inside,NAmes,1Story,5,7,1965,1965,Hip,3,1,TA,6,Typ,0,NA,Attchd,1965,RFn,2,515,6,2007,WD,Normal,156000
488,20,Pave,AllPub,Inside,NWAmes,1Story,5,6,1971,1971,Gable,3,1,TA,7,Typ,1,TA,Attchd,1971,Unf,2,487,2,2007,WD,Normal,175000
489,190,Pave,AllPub,Corner,OldTown,1.5Fin,5,4,1900,1970,Gable,3,2,TA,10,Mod,1,Gd,Attchd,1970,Unf,2,520,5,2006,ConLD,Normal,160000
490,180,Pave,AllPub,Inside,MeadowV,SFoyer,4,8,1970,2002,Gable,1,1,Gd,3,Typ,0,NA,Attchd,1970,Unf,1,286,5,2009,WD,Normal,86000
491,160,Pave,AllPub,Inside,MeadowV,2Story,5,6,1976,1976,Gable,3,1,TA,4,Typ,1,Gd,BuiltIn,1976,Fin,1,336,6,2008,WD,Normal,115000
492,50,Pave,AllPub,Inside,NAmes,1.5Fin,6,7,1941,1950,Gable,3,1,Fa,5,Typ,2,TA,Attchd,1941,Unf,1,240,8,2006,WD,Normal,133000
493,60,Pave,AllPub,Corner,Gilbert,2Story,6,5,2006,2006,Gable,3,1,TA,8,Typ,0,NA,Attchd,2006,RFn,2,429,5,2006,New,Partial,172785
494,20,Pave,AllPub,Inside,NAmes,1Story,5,6,1960,1960,Gable,3,1,TA,6,Typ,1,Fa,Detchd,1964,Unf,1,308,6,2008,WD,Normal,155000
495,30,Pave,AllPub,Inside,OldTown,1Story,5,8,1938,1996,Gable,2,1,TA,4,Typ,0,NA,Attchd,1938,Unf,1,273,12,2009,WD,Normal,91300
496,30,Pave,AllPub,Inside,IDOTRR,1Story,4,5,1920,1950,Gable,2,1,TA,4,Typ,0,NA,NA,NA,NA,0,0,11,2009,WD,Abnorml,34900
497,20,Pave,AllPub,Inside,NoRidge,1Story,8,5,1992,1993,Hip,4,1,Gd,10,Typ,1,Gd,Attchd,1992,RFn,2,546,5,2007,WD,Normal,430000
498,50,Pave,AllPub,Inside,BrkSide,1.5Fin,7,6,1925,1950,Gable,4,1,TA,8,Typ,0,NA,Detchd,1925,Unf,1,240,6,2008,WD,Normal,184000
499,20,Pave,AllPub,Inside,Sawyer,1Story,5,7,1967,2004,Hip,3,1,Gd,5,Typ,0,NA,Attchd,1967,Fin,1,288,6,2009,WD,Normal,130000
500,20,Pave,AllPub,Inside,NAmes,1Story,5,7,1958,1985,Gable,2,1,TA,5,Typ,0,NA,Attchd,1958,Fin,1,297,6,2007,WD,Normal,120000
501,160,Pave,AllPub,Inside,BrDale,2Story,6,5,1973,1973,Gable,3,1,TA,7,Typ,0,NA,Detchd,1973,Unf,1,264,5,2007,WD,Normal,113000
502,60,Pave,AllPub,Inside,Somerst,2Story,7,5,2005,2005,Gable,3,1,Gd,7,Typ,0,NA,Attchd,2005,RFn,2,603,2,2008,WD,Normal,226700
503,20,Pave,AllPub,Corner,Edwards,1Story,5,7,1965,1965,Hip,2,1,TA,6,Typ,0,NA,Detchd,1965,Unf,2,461,4,2007,WD,Normal,140000
504,20,Pave,AllPub,Inside,Crawfor,1Story,7,8,1959,1997,Gable,1,1,TA,6,Typ,2,TA,Attchd,1959,Fin,2,484,3,2010,WD,Normal,289000
505,160,Pave,AllPub,Inside,NPkVill,2Story,6,5,1974,1974,Gable,3,1,TA,6,Typ,1,Fa,Attchd,1974,Unf,2,440,6,2009,WD,Normal,147000
506,90,Pave,AllPub,Inside,OldTown,2Story,5,5,1952,1952,Hip,4,2,TA,10,Typ,0,NA,Detchd,1952,Unf,2,400,7,2009,COD,Normal,124500
507,60,Pave,AllPub,Inside,SawyerW,2Story,8,5,1993,1994,Gable,3,1,Gd,8,Typ,1,TA,Attchd,1993,RFn,2,471,9,2006,WD,Normal,215000
508,20,Pave,AllPub,Inside,Somerst,1Story,6,5,2009,2009,Gable,2,1,Gd,4,Typ,0,NA,Attchd,2009,Fin,2,676,9,2009,New,Partial,208300
509,70,Pave,AllPub,Inside,OldTown,2Story,7,9,1928,2005,Gambrel,3,1,Gd,7,Typ,1,Gd,Detchd,1928,Unf,2,360,10,2008,WD,Normal,161000
510,20,Pave,AllPub,Corner,NAmes,1Story,5,6,1959,1959,Gable,3,1,TA,6,Typ,0,NA,Attchd,1959,RFn,1,270,7,2009,WD,Normal,124500
511,20,Pave,AllPub,Inside,NAmes,1Story,5,7,1951,2000,Hip,2,1,TA,6,Min1,2,TA,CarPort,1951,Unf,1,288,6,2009,WD,Normal,164900
512,120,Pave,AllPub,Inside,NridgHt,1Story,7,5,2005,2006,Gable,2,1,Gd,6,Typ,1,Gd,Attchd,2005,RFn,2,474,3,2006,New,Partial,202665
513,20,Pave,AllPub,Corner,NAmes,1Story,5,5,1958,1958,Gable,3,1,TA,5,Typ,0,NA,Detchd,1964,Unf,2,624,7,2006,WD,Normal,129900
